,cores,parallelization,batch_size,learning_rate,max_epoch,duration
0,1,1,32,0.01,5,423.33
1,1,1,32,0.01,20,1587.67
2,1,1,32,0.05,5,404.33
3,1,1,32,0.05,20,1555.33
4,1,1,256,0.01,5,330.67
5,1,1,256,0.01,20,1317.67
6,1,1,256,0.05,5,317.67
7,1,1,256,0.05,20,1213.33
8,1,4,32,0.01,5,173.67
9,1,4,32,0.01,20,707.0
10,1,4,32,0.05,5,178.0
11,1,4,32,0.05,20,699.67
12,1,4,256,0.01,5,131.0
13,1,4,256,0.01,20,508.67
14,1,4,256,0.05,5,131.33
15,1,4,256,0.05,20,481.67
16,3,1,32,0.01,5,189.67
17,3,1,32,0.01,20,738.33
18,3,1,32,0.05,5,189.67
19,3,1,32,0.05,20,778.0
20,3,1,256,0.01,5,167.33
21,3,1,256,0.01,20,677.33
22,3,1,256,0.05,5,164.33
23,3,1,256,0.05,20,655.67
24,3,4,32,0.01,5,127.67
25,3,4,32,0.01,20,270.33
26,3,4,32,0.05,5,73.0
27,3,4,32,0.05,20,273.67
28,3,4,256,0.01,5,54.67
29,3,4,256,0.01,20,196.67
30,3,4,256,0.05,5,58.0
31,3,4,256,0.05,20,194.33
